SK_ID_CURR,TARGET
100001,0.31
100005,0.39
100013,0.35
100028,0.38
100038,0.44
100042,0.36
100057,0.23
100065,0.28
100066,0.28
100067,0.43
100074,0.4
100090,0.31
100091,0.34
100092,0.45
100106,0.29
100107,0.35
100109,0.33
100117,0.35
100128,0.37
100141,0.32
100150,0.38
100168,0.37
100169,0.37
100170,0.34
100171,0.39
100172,0.4
100184,0.36
100187,0.41
100212,0.36
100222,0.37
100223,0.32
100232,0.29
100241,0.29
100245,0.33
100253,0.4
100256,0.28
100271,0.36
100278,0.45
100280,0.3
100306,0.42
100311,0.38
100312,0.32
100330,0.37
100331,0.32
100352,0.33
100358,0.44
100367,0.38
100382,0.44
100384,0.35
100385,0.3
100386,0.33
100399,0.31
100404,0.4
100416,0.36
100422,0.39
100426,0.32
100438,0.25
100444,0.41
100445,0.3
100446,0.45
100447,0.27
100450,0.42
100466,0.33
100483,0.38
100484,0.33
100494,0.37
100510,0.37
100512,0.34
100517,0.32
100548,0.42
100551,0.38
100552,0.36
100553,0.33
100561,0.4
100568,0.37
100569,0.35
100591,0.33
100592,0.31
100602,0.28
100607,0.29
100613,0.34
100617,0.35
100618,0.35
100622,0.28
100625,0.39
100677,0.41
100699,0.26
100702,0.45
100711,0.38
100729,0.4
100740,0.35
100744,0.36
100745,0.5
100747,0.35
100751,0.46
100752,0.4
100753,0.5
100754,0.45
100760,0.37
100762,0.36
100763,0.34
100765,0.33
100770,0.37
100772,0.29
100777,0.28
100791,0.31
100792,0.32
100797,0.35
100823,0.29
100826,0.28
100830,0.37
100836,0.37
100872,0.44
100910,0.3
100913,0.44
100918,0.36
100931,0.28
100952,0.27
100953,0.41
100965,0.47
100970,0.35
100982,0.37
100983,0.5
100984,0.42
100987,0.35
100997,0.44
100998,0.4
101002,0.32
101005,0.43
101008,0.31
101020,0.38
101021,0.36
101024,0.41
101025,0.27
101026,0.44
101031,0.34
101041,0.31
101051,0.3
101055,0.4
101056,0.39
101057,0.26
101064,0.43
101079,0.37
101087,0.36
101090,0.32
101092,0.45
101097,0.29
101099,0.33
101107,0.41
101118,0.36
101125,0.37
101126,0.32
101128,0.31
101136,0.38
101140,0.43
101149,0.32
101160,0.44
101169,0.42
101181,0.32
101186,0.35
101190,0.27
101193,0.22
101194,0.56
101198,0.34
101200,0.34
101204,0.36
101211,0.38
101213,0.34
101223,0.29
101225,0.34
101237,0.38
101243,0.4
101244,0.4
101258,0.35
101259,0.37
101268,0.4
101269,0.29
101271,0.4
101279,0.42
101281,0.48
101287,0.29
101292,0.36
101294,0.36
101296,0.38
101297,0.3
101299,0.4
101301,0.32
101305,0.5
101308,0.38
101318,0.28
101327,0.51
101329,0.37
101332,0.38
101337,0.33
101343,0.39
101345,0.21
101346,0.35
101353,0.3
101354,0.44
101355,0.5
101356,0.28
101362,0.28
101363,0.51
101365,0.36
101366,0.37
101367,0.32
